Address,deals2,Tenant,Landlord,Borough,Size,deals7,deals8,Neighborhood,Event Date,Tenant Rep. Agent,Landlord Rep. Agent,Event,Publication Date,Tenant Rep. Firm,Landlord Rep. Firm,,,
153-50 89th Avenue,,City Rib,Dermot Company,Queens,5000,,,Jamaica,05/17/2012,,,Retail Leasing,07/01/2012,,,,,
1178 Flatbush Avenue,,Hua Supermarket Inc.,HSRE,Brooklyn,5000,,,Flatbush,05/17/2012,,Harold Sherr,Retail Leasing,07/01/2012,,,,,
Cooper Avenue and 80th Street,,CrossFit NYC,ATCO Properties & Management,Queens,4036,,,Middle Village,05/17/2012,Joe Ibrahim,Neil Adamson,Retail Leasing,07/01/2012,,,,,
388 East Fordham Road,,Lava New York Inc.,B & G Sportswear,Bronx,3000,,,Fordham,05/17/2012,Rick Stassa,Rick Stassa,Retail Leasing,07/01/2012,,NAI Friedland,,,
1174 Flatbush Avenue,,Liberty Income Tax Services,HSRE,Brooklyn,2200,,,Flatbush,05/17/2012,,Harold Sherr,Retail Leasing,07/01/2012,,,,,
1172 Flatbush Avenue,,Boost Mobile,HSRE,Brooklyn,1400,,,Flatbush,05/17/2012,,Harold Sherr,Retail Leasing,07/01/2012,,,,,
1176 Flatbush Avenue,,U.S. Armed Forces,HSRE,Brooklyn,900,,,Flatbush,05/17/2012,Karen Cohen,Harold Sherr,Retail Leasing,07/01/2012,,,,,
118 West 168th Street,,Lopez Corner Bakery,BLDG Management,Bronx,750,,,Highbridge,05/17/2012,"Matthew Mager, Elliott Dweck","Matthew Mager, Elliott Dweck",Retail Leasing,07/01/2012,Besen & Associates,Besen & Associates,,,
655 Madison Avenue,,DKNY,Plaza Associates,Manhattan,17776,,,Lenox Hill,04/22/2012,"Laura Pomerantz, John Brod","Andrew Roos, Matt Cohen",Retail Leasing,06/01/2012,PBS Realty Advisors,Colliers International,,,
64-68 Wooster Street,,Herman Miller,Zar Property NY,Manhattan,13500,,,Soho,04/22/2012,Marc Simon,,Retail Leasing,06/01/2012,Isaacs & Company,In-house,,,
500 West 23rd Street,,CVS,Equity Residential,Manhattan,10000,,,Chelsea,04/22/2012,"Jason Pruger, Robert Kaplan, Trevor Gallina","Craig Slosberg, Paul Berkman",Retail Leasing,06/01/2012,Newmark Grubb Knight Frank,Newmark Grubb Knight Frank,,,
48 West 37th Street,,The National Council of the Boy Scouts of America,,Manhattan,5800,,,Garment District,04/22/2012,"David Rosenberg, Andrew Stern","David Levy, Joe Friedman",Retail Leasing,06/01/2012,RKF,Adams & Company,,,
980 Madison Avenue,,Rebecca Taylor,RFR Holding,Manhattan,4338,,,Upper East Side,04/22/2012,Simon Dallimore,"Robert Futterman, Beth Rosen, Jackie Totolo",Retail Leasing,06/01/2012,"Dallimore & Company, Lansco",RKF,,,
121 Wooster Street,,Piperlime,,Manhattan,4000,,,Soho,04/22/2012,,,Retail Leasing,06/01/2012,,,,,
11 West 51st Street,,Spain Taste New York Corporation,11 West 51 Realty,Manhattan,4000,,,Plaza District,04/22/2012,Joseph Robinson,Joseph Robinson,Retail Leasing,06/01/2012,Bond New York,Bond New York,,,
980 Madison Avenue,,Vince,RFR Holding,Manhattan,3770,,,Upper East Side,04/22/2012,Simon Dallimore,"Robert Futterman, Beth Rosen, Jackie Totolo",Retail Leasing,06/01/2012,"Dallimore & Company, Lansco",RKF,,,
530 Main Street,,Wholesome Factory, Island Wine & Spirits,Hudson Related Retail,Manhattan,3740,,,Roosevelt Island,04/22/2012,Gene Schwimmer (independent broker),Hal Shapiro,Retail Leasing,06/01/2012,,Winick Realty Group,,
77 East 115th Street,,,,Manhattan,3400,,,East Harlem,04/22/2012,,"Jill Lovatt, Michael Hefferon",Retail Leasing,06/01/2012,,Massey Knakal Realty Services,,,
52 East 13th Street,,Revolve,,Manhattan,3000,,,Greenwich Village,04/22/2012,"Lee Block, Annie Shinn",Rudy Demasi,Retail Leasing,06/01/2012,Winick Realty Group,Safeguard Realty Management,,,
1623 York Avenue,,EVF Performance,,Manhattan,3000,,,Yorkville,04/22/2012,Amie Claps,Victor Menkin,Retail Leasing,06/01/2012,Lansco,Menkin Realty Services,,,
1989 Third Avenue,,MB Natural Furniture,,Manhattan,2892,,,East Harlem,04/22/2012,"Ariel Schuster, Greg Covey, Harrison Abramowitz","Ariel Schuster, Greg Covey, Harrison Abramowitz",Retail Leasing,06/01/2012,RKF,RKF,,,
110 East 59th Street,,Yankees Clubhouse Shop,,Manhattan,2300,,,Plaza District,04/22/2012,,Dennis Brady,Retail Leasing,06/01/2012,In-house,Jack Resnick & Sons,,,
980 Madison Avenue,,Sandro,RFR Holding,Manhattan,2037,,,Upper East Side,04/22/2012,David Baker,"Robert Futterman, Jackie Totolo, Beth Rosen",Retail Leasing,06/01/2012,Isaacs & Company,RKF,,,
93 Greene Street,,Chloe,,Manhattan,2000,,,Soho,04/22/2012,Paul Muratore,Christopher Owles,Retail Leasing,06/01/2012,CBRE,Sinvin Real Estate,,,
30 West 34th Street,,Vince Camuto,Sol Goldman Investments,Manhattan,1837,,,Garment District,04/22/2012,"Laura Pomerantz, Betty Ende","Jason Pruger, Kenji Ota, Trevor Gallina",Retail Leasing,06/01/2012,PBS Realty Advisors,Newmark Grubb Knight Frank,,,
78 Fulton Street,,Rich Young,,Manhattan,1800,,,Financial District,04/22/2012,"Ariel Schuster, Ross Berkowitz",,Retail Leasing,06/01/2012,RKF,,,,
45 Mercer Street,,Galli,45 Mercer Street,Manhattan,1800,,,Soho,04/22/2012,,Joseph Robinson,Retail Leasing,06/01/2012,,Bond New York,,,
370 Lexington Avenue,,Zucker's Bagels & Smoked Fish,Sherwood Equities,Manhattan,1700,,,Murray Hill,04/22/2012,Warren Newcorn,,Retail Leasing,06/01/2012,Newcorn Realty,In-house,,,
365 Madison Avenue,,Swarovski,RHC Operating,Manhattan,1641,,,Grand Central,04/22/2012,"Robert Cohen, Jackie Totolo","Gary Alterman, Pamela Haber",Retail Leasing,06/01/2012,RKF,RKF,,,
875 Sixth Avenue,,Saehan Bank,,Manhattan,1548,,,Penn Plaza,04/22/2012,"J. Mun, Robert Buckley",Peter Braus,Retail Leasing,06/01/2012,SBC Associates,Lee & Associates NYC,,,
604 Sixth Avenue,,Cohen's Fashion Optical,,Manhattan,1100,,,Flatiron,04/22/2012,"Howard Gilbert, Richard Gelber",,Retail Leasing,06/01/2012,RKF,,,,
791 Madison Avenue,,Innovate Life,Friedland Properties,Manhattan,1100,,,Lenox Hill,04/22/2012,Amie Claps,,Retail Leasing,06/01/2012,Lansco,In-house,,,
80 Nassau Street,,Stamina Grill & Juice Bar,,Manhattan,1000,,,Financial District,04/22/2012,"Gary Alterman, Harrison Abramowitz",,Retail Leasing,06/01/2012,RKF,,,,
961 Columbus Avenue,,Sheshe Pizzeria,,Manhattan,1000,,,Upper West Side,04/22/2012,,David Chkheidze,Retail Leasing,06/01/2012,,Massey Knakal Realty Services,,,
257 Sixth Avenue,,Jack's Stirbrew Coffee,,Manhattan,800,,,West Village,04/22/2012,,"Ariel Schuster, Ross Berkowitz",Retail Leasing,06/01/2012,,RKF,,,
98 Thompson Street,,Ernest Alexander Menswear,,Manhattan,750,,,Soho,04/22/2012,Robert Carbonara,Robert Carbonara,Retail Leasing,06/01/2012,First Allied Properties,First Allied Properties,,,
1566 Second Avenue,,DashLocker,Eberhart Bros.,Manhattan,645,,,Yorkville,04/22/2012,Jay Gilbert,Jay Gilbert,Retail Leasing,06/01/2012,Newmark Grubb Knight Frank,Newmark Grubb Knight Frank,,,
690 Lexington Avenue,,Ozger Enterprise,,Manhattan,450,,,Plaza District,04/22/2012,"Manny Kabiri, Warren Stein",Tony Park,Retail Leasing,06/01/2012,Manhattan Commercial Realty,PD Properties,,,
1100 Madison Avenue,,Sundaram Tagore Gallery,,Manhattan,400,,,Upper East Side,04/22/2012,,Jill Lovatt,Retail Leasing,06/01/2012,,Massey Knakal Realty Services,,,
994 Madison Avenue,,Phoenix Roze,,Manhattan,400,,,Upper East Side,04/22/2012,,"Sal Ferrigno, Beth Rosen",Retail Leasing,06/01/2012,,RKF,,,
32 West 40th Street,,Lady M Confections,40th Street Tenants Corporation,Manhattan,376,,,Garment District,04/22/2012,,Jean Bates,Retail Leasing,06/01/2012,,A.C. Lawrence,,,
175th Streetand Hillside Avenue,,Walgreens,Valen Partners LLP,Queens,14500,,,Jamaica Estates,04/17/2012,Marvin Hartman,,Retail Leasing,06/01/2012,,,,,
1031 Southern Boulevard,,Walgreens,Simpson West,Bronx,8500,,,Longwood,04/17/2012,"Robin Herko, Steve Lorenzo","Robin Herko, Steve Lorenzo",Retail Leasing,06/01/2012,NAI Friedland Realty,NAI Friedland,,,
6218 20th Avenue,,Sunny Day Adult Day Care Corp.,6218 20th Avenue LLC,Brooklyn,4500,,,Borough Park,04/17/2012,,,Retail Leasing,06/01/2012,M.C. O'Brien,M.C. O'Brien,,,
566 Nostrand Avenue,,,,Brooklyn,4000,,,Bedford-Stuyvesant,04/17/2012,,Andrew Clemens,Retail Leasing,06/01/2012,,Massey Knakal Realty Services,,,
77-79 East 115th Street,,,,Manhattan,3400,,,East Harlem,04/17/2012,,"Jill Lovatt, Michael Hefferon",Retail Leasing,06/01/2012,,,,,
3524 Johnson Avenue,,Oregano Bar & Bistro,Friedland Properties,Bronx,3000,,,Riverdale,04/17/2012,,,Retail Leasing,06/01/2012,,,,,
289 Livingston Street,,Wingstop,,Brooklyn,1700,,,Boerum Hill,04/17/2012,Greg Batista,,Retail Leasing,06/01/2012,,,,,
740 Allerton Avenue,,DP Group General Contracting,Allerton Associates LLC,Bronx,1675,,,Allerton,04/17/2012,"Steve Lorenzo, John Rivera","Steve Lorenzo, John Riveraa",Retail Leasing,06/01/2012,,,,,
4916 Church Avenue,,Boost Mobile,4918 Church Avenue LLC,Brooklyn,1400,,,East Flatbush,04/17/2012,,,Retail Leasing,06/01/2012,M.C. O'Brien,M.C. O'Brien,,,
1124 Bedford Avenue,,WhipperSnapper,,Brooklyn,1313,,,Bedford-Stuyvesant,04/17/2012,,Andrew Clemens,Retail Leasing,06/01/2012,,Massey Knakal Realty Services,,,
2130 Ralph Avenue,,Liberty Travel,Whitman Plaza Associates LLC,Brooklyn,1250,,,Flatlands,04/17/2012,Jeffrey Pliskin,,Retail Leasing,06/01/2012,,,,,
774 Nostrand Avenue,,Gold Star Coverage Ltd.,Nostrand Avenue Associates Holding LLC,Brooklyn,1100,,,Crown Heights,04/17/2012,,,Retail Leasing,06/01/2012,M.C. O'Brien,M.C. O'Brien,,,
3 East Fordham Road,,Viral,ISJ Management,Bronx,1080,,,Kingsbridge,04/17/2012,Rick Stassa,Rick Stassa,Retail Leasing,06/01/2012,,NAI Friedland,,,
3128 Villa Avenue,,Villa Pizza,Zar Property NY,Bronx,1000,,,Kingsbridge,04/17/2012,,,Retail Leasing,06/01/2012,,Represented in-house,,,
65-01 Woodhaven Boulevard,,Sprint Nextel,,Queens,900,,,Middle Village,04/17/2012,Greg Batista,,Retail Leasing,06/01/2012,,,,,
2153 Utica Avenue,,Queen of Stylez,5001 Avenue N,Brooklyn,800,,,Flatlands,04/17/2012,,,Retail Leasing,06/01/2012,M.C. O'Brien,M.C. O'Brien,,,
306 Union Avenue,,Actionline Insurance Brokerage Corp.,Brooklyn Neighborhood Housing Development Fund,Brooklyn,692,,,Williamsburg,04/17/2012,,,Retail Leasing,06/01/2012,M.C. O'Brien,M.C. O'Brien,,,
667 Classon Avenue,,MK Bull Inc.,Classon Village LP,Brooklyn,480,,,Crown Heights,04/17/2012,,,Retail Leasing,06/01/2012,M.C. O'Brien,M.C. O'Brien,,,
171 Lenox Avenue,,Pa-Paya Seed,,Manhattan,1250,,,Central Harlem,03/23/2012,"Joseph Aquino, Faith Hope Consolo, Arthur Maglio",,Retail Leasing,05/02/2012,Douglas Elliman,,,,
1110 Third Avenue,,Pier 1 Imports,Related Companies,Manhattan,17514,,,Lenox Hill,03/22/2012,Jerry Welkis,"Beth Rosen, Jackie Totolo",Retail Leasing,05/01/2012,Welco Realty,RKF,,,
600 Third Avenue,,Blink Fitness,,Manhattan,16000,,,Murray Hill,03/22/2012,Peter Levine,,Retail Leasing,05/01/2012,Charter Realty & Development,,,,
2681-7 Broadway,,Duane Reade,235 W 102nd Street,Manhattan,13052,,,Upper West Side,03/22/2012,Louis Eisinger,"Jeffrey Roseman, Stuart Morden",Retail Leasing,05/01/2012,Winick Realty Group,Newmark Grubb Knight Frank,,,
18 East 16th Street,,True Love Bakery,Winter Organization,Manhattan,10000,,,Flatiron,03/22/2012,"Benjamin Kahr, Leslie Siben","Ariel Schuster, Jackie Totolo, Zachary Winkler",Retail Leasing,05/01/2012,JDF Realty,RKF,,,
909 Madison Avenue,,Rag & Bone,Friedland Properties,Manhattan,9000,,,Upper East Side,03/22/2012,"Caleb Petersen, Karen Bellantoni","Aaron Prince, Sylvie Shames",Retail Leasing,05/01/2012,RKF,Friedland Properties,,,
99 Wooster Street,,Victorinox,,Manhattan,7000,,,Soho,03/22/2012,Michael Glanzberg,Michael Glanzberg,Retail Leasing,05/01/2012,Sinvin Real Estate,Sinvin Real Estate,,,
279 Church Street,,,,Manhattan,5000,,,Tribeca,03/22/2012,"James Famularo, Ravi Idnani","James Famularo, Ravi Idnani",Retail Leasing,05/01/2012,New York Commercial Real Estate Services,New York Commercial Real Estate Services,,,
1268 Broadway,,New York Community Bank,Yehuda Realty,Manhattan,4800,,,Garment District,03/22/2012,Bob Weber,John Magnani,Retail Leasing,05/01/2012,Winick Realty Group,Daniel Gale Sotheby's International Realty,,,
2427 Broadway,,Candle West,WMK 89th Street,Manhattan,4400,,,Upper West Side,03/22/2012,,Spencer Levy,Retail Leasing,05/01/2012,,RKF,,,
504 Sixth Avenue,,,,Manhattan,3000,,,Greenwich Village,03/22/2012,"James Famularo, Ravi Idnani","James Famularo, Ravi Idnani",Retail Leasing,05/01/2012,New York Commercial Real Estate Services,New York Commercial Real Estate Services,,,
100 West 125th Street,,,,,,,,,,,,,,,,,,
338 Eighth Avenue,,,,Manhattan,1300,,,Chelsea,01/21/2012,Abe Bichoupan,Abe Bichoupan,Retail Leasing,03/01/2012,New York Commercial Real Estate Services,New York Commercial Real Estate Services,,,
318 East 6th Street,,,,Manhattan,1300,,,East Village,01/21/2012,Abe Bichoupan,"Jason Turner,",Retail Leasing,03/01/2012,New York Commercial Real Estate Services,Zelnik & Company,,,
175 Seventh Avenue,,Depi 4 Ever,Chelsea Warren Company,Manhattan,1099,,,Chelsea,01/21/2012,Cosmo Montemurro,Alex Hill,Retail Leasing,03/01/2012,Winick Realty Group,Winick Realty Group,,,
610 Fifth Avenue,,Longchamp,Tishman Speyer,Manhattan,881,,,Plaza District,01/21/2012,,,Retail Leasing,03/01/2012,,,,,
645 Madison Avenue,,Dodo,TF Cornerstone,Manhattan,817,,,Lenox Hill,01/21/2012,Andrew Kahn,,Retail Leasing,03/01/2012,Cushman & Wakefield,,,,
667 Lexington Avenue,,Arnon Magal,,Manhattan,700,,,Plaza District,01/21/2012,"Helen Demetrious, Ina Donath",,Retail Leasing,03/01/2012,New York Commercial Real Estate Services,Haber Realty,,,
1223 Madison Avenue,,Pink Chicken,,Manhattan,650,,,Carnegie Hill,01/21/2012,"Faith Hope Consolo, Joseph Aquino","Faith Hope Consolo, Joseph Aquino",Retail Leasing,03/01/2012,Douglas Elliman,Douglas Elliman,,,
434 86th Street,,Duane Reade,86 Blue LLC,Brooklyn,18438,,,Fort Hamilton,01/16/2012,Diana Boutross,Diana Boutross,Retail Leasing,03/01/2012,,,,,
244-05 Northern Boulevard,,TD Bank,East River Petroleum Realty,Queens,14000,,,Douglaston,01/16/2012,"Richard Senior, Isaac Shabot","Richard Senior, Isaac Shabot",Retail Leasing,03/01/2012,,Ripco Real Esate,,,
37-80 Junction Boulevard,,Duane Reade,Crown Acquisitions,Queens,12000,,,Sunnyside,01/16/2012,Zach Mishaan,Zach Mishaan,Retail Leasing,03/01/2012,,,,,
604 Union Street,,Dinosaur Bar-B-Que,USM Partners LLC,Brooklyn,9000,,,Gowanus,01/16/2012,"A. Moger, Jordan Korris",Gary Mayzlin,Retail Leasing,03/01/2012,,,,,
860 East 161st Street,,Variety & Beauty Supply,Longwood Gardens LLC,Bronx,7550,,,Longwood,01/16/2012,Kathy Zamechansky,Kathy Zamechansky,Retail Leasing,03/01/2012,KZA Realty Group,KZA Realty Group,,,
1373 Fulton Street,,TD Bank,957 Marcy Ave LLC,Brooklyn,7046,,,Bedford-Stuyvesant,01/16/2012,"Richard Senior, Isaac Shabot","Richard Senior, Isaac Shabot",Retail Leasing,03/01/2012,,Ripco Real Esate,,,
371 East 149th Street,,TD Bank,N&L East 149 Street LLC,Bronx,4000,,,Mott Haven,01/16/2012,"Richard Senior, Isaac Shabot","Richard Senior, Isaac Shabot",Retail Leasing,03/01/2012,,Ripco Real Esate,,,
614-618 Castle Hill Avenue,,Mannam Medical,R.A. Real Estate,Bronx,3640,,,Castle Hill,01/16/2012,Alex Hill,Alexander Hill,Retail Leasing,03/01/2012,,Winick Realty Group,,,
46-15 Center Boulevard,,Sweetleaf LIC,TF Cornerstone,Queens,1557,,,Long Island City,01/16/2012,"Steven Baker, Joshua Singer","Steven Baker, Josh Singer",Retail Leasing,03/01/2012,,,,,
15 East 167th Street,,Little Caesars Pizza,15 E 167th St. Realty,Bronx,1500,,,Highbridge,01/16/2012,"Robin Herko, David Scotto","Robin Herko, David Scotto",Retail Leasing,03/01/2012,NAI Friedland Realty,NAI Friedland,,,
961 East 174th Street,,Little Caesars Pizza,Ashkenazy Acquisition,Bronx,1500,,,East Morrisania,01/16/2012,"Robin Herko, David Scotto","Robin Herko, David Scotto",Retail Leasing,03/01/2012,NAI Friedland Realty,NAI Friedland,,,
1384 Boston Road,,Crotona Pharmacy Corp.,1394 B.P.R. Realty Corp.,Bronx,1200,,,Morrisania,01/16/2012,"Steve Lorenzo, John Rivera","Steve Lorenzo, John Riveraa",Retail Leasing,03/01/2012,,,,,
100-21 Queens Boulevard,,Subway,Achs Management,Queens,700,,,Rego Park,01/16/2012,Cosmo Montemurro,Ralph Hanan,Retail Leasing,03/01/2012,,,,,
234 West 42nd Street,,Famous Dave's BBQ,Forest City,Manhattan,25000,,,Times Square,12/23/2011,Andrew Pittel,"Marc Leber, Jeffrey Roseman",Retail Leasing,02/01/2012,Andrew A. Pittel & Company,Newmark Grubb Knight Frank,,,
104 West 27th Street,,King K-9 LLC,Marvin Davis,Manhattan,10000,,,Chelsea,12/23/2011,Jean Bates,,Retail Leasing,02/01/2012,A.C. Lawrence,,,,
53 West 36th Street,,The Keg Room,Hidrock Realty,Manhattan,8400,,,Garment District,12/23/2011,Edward Reilly,,Retail Leasing,02/01/2012,Reilly Mann Newell Realty Group,In-house,,,
207 East 94th Street,,The Little Gym,Glenwood Management,Manhattan,8000,,,Yorkville,12/23/2011,"Andrew Pittel, Peter Winston",Jamison Weiner,Retail Leasing,02/01/2012,Andrew A. Pittel & Company,Manhattes Group,,,
125 East 39th Street,,Suimon,125 East 39th Street Realty,Manhattan,4545,,,Murray Hill,12/23/2011,"Barry Lewen, Henry Goldfarb, Stanley Lindenfeld, R. Rajnarain","Barry Lewen, Henry Goldfarb, Stanley Lindenfeld, R. Rajnarain",Retail Leasing,02/01/2012,Grubb & Ellis,Grubb & Ellis,,,
499 Park Avenue,,Daum, Haviland,Hines,Manhattan,4500,,,Plaza District,12/23/2011,Jonathan Krivine,"Alisa Amsterdam, Gene Spiegelman, Michael O'Neil",Retail Leasing,02/01/2012,Newmark Grubb Knight Frank,Cushman & Wakefield,,
116 John Street,,The United States Post Office,116 John Street,Manhattan,4100,,,Financial District,12/23/2011,"Darrell Rubens, Annie Shinn","Darrell Rubens, Annie Shinn",Retail Leasing,02/01/2012,Winick Realty Group,Winick Realty Group,,,
715 Ninth Avenue,,Universal Gear,,Manhattan,2900,,,Clinton,12/23/2011,Marjorie Borell,,Retail Leasing,02/01/2012,New York Commercial Real Estate Services,,,,
366 Fifth Avenue,,Potbelly Sandwich Shop,Joseph P. Day Realty,Manhattan,2100,,,Garment District,12/23/2011,"Jeffrey Roseman, Marc Frankel, Benjamin Birnbaumof",,Retail Leasing,02/01/2012,Newmark Grubb Knight Frank,In-house,,,
131 West 21st Street,,Joe the Art of Coffee,B. Brages Associated,Manhattan,1800,,,Chelsea,12/23/2011,Barry Williams,,Retail Leasing,02/01/2012,Branded Concept Development,Midtown Commercial Real Estate,,,
30 West 8th Street,,Stumptown,,Manhattan,1700,,,Greenwich Village,12/23/2011,,"William Abramson, Annie Yao",Retail Leasing,02/01/2012,Thor Equities,Buchbinder & Warren,,,
153 Essex Street,,Subway,Kahan Family Irrevocable Trust,Manhattan,1650,,,Lower East Side,12/23/2011,Morris Sabbagh,Josh Frank,Retail Leasing,02/01/2012,Kassin Sabbagh Realty,Misrahi Realty,,,
1529 York Avenue,,Forte Caterers,M&S Capital NY,Manhattan,1600,,,Yorkville,12/23/2011,Richard Smith,Andrew Stern,Retail Leasing,02/01/2012,Winick Realty Group,RKF,,,
315 Sixth Avenue,,La Vid Wine and Spirits,321 Sixth Avenue Partners,Manhattan,1200,,,West Village,12/23/2011,"Joshua Singer, Cosmo Montemurro","Joshua Singer, Cosmo Montemurro",Retail Leasing,02/01/2012,Winick Realty Group,Winick Realty Group,,,
147 West 35th Street,,ID America,,Manhattan,1200,,,Garment District,12/23/2011,Nelson Mieses,Carlos Silberman,Retail Leasing,02/01/2012,Rescom Properties,Falcon Properties,,,
808 Washington Street,,Christian Louboutin,TF Cornerstone,Manhattan,1035,,,West Village,12/23/2011,Jeffrey Painser,"Karen Bellantoni, Pamela Haber",Retail Leasing,02/01/2012,Ripco Real Estate,RKF,,,
147 West 35th Street,,Optical on Pearl,,Manhattan,1000,,,Garment District,12/23/2011,Nelson Mieses,Carlos Silberman,Retail Leasing,02/01/2012,Rescom Properties,Falcon Properties,,,
3215 Third Avenue,,Samsea,Blue River Retail,Manhattan,629,,,East Harlem,12/23/2011,Alexander Hill,Alexander Hill,Retail Leasing,02/01/2012,Winick Realty Group,Winick Realty Group,,,
98 Thompson Street,,Katherine Hooker,Standard Realty,Manhattan,600,,,Soho,12/23/2011,Robert Carbonara,Robert Carbonara,Retail Leasing,02/01/2012,First Allied Properties,First Allied Properties,,,
400 East 74th Street,,Sunshine Body Works,Rojell Corporation,Manhattan,600,,,Upper East Side,12/23/2011,"James Famularo, Ravi Idnani","Paul Irvine, Caroline Chiti",Retail Leasing,02/01/2012,New York Commercial Real Estate Services,Irvine Realty,,,
1248 Lexington Avenue,,Judaica Classics,133 East 84th Street,Manhattan,510,,,Upper East Side,12/23/2011,Richard Smith,Michael Papilsky,Retail Leasing,02/01/2012,Winick Realty Group,Siderow Organization,,,
295 Madison Avenue,,Davidov Optical,WBM 295 Madison Owner,Manhattan,400,,,Grand Central,12/23/2011,Hal Shapiro,Joshua Singer,Retail Leasing,02/01/2012,Winick Realty Group,Winick Realty Group,,,
7 East 14th Street,,Creperie,Victoria Retail,Manhattan,393,,,Flatiron,12/23/2011,"Charles Rapuano, Jordan Spiegelman","Steven Baker, Joshua Singer",Retail Leasing,02/01/2012,Winick Realty Group,Winick Realty Group,,,
1435 Lexington Avenue,,Richard Salome Flowers,1435 Tenants Corporation,Manhattan,375,,,Carnegie Hill,12/23/2011,Jane Slade,"Howard Aaron, Aaron Gavios",Retail Leasing,02/01/2012,Tarter Stats O'Toole,Square Foot Realty,,,
505 Fulton Street,,TJ Maxx,,Brooklyn,23000,,,Downtown Brooklyn,12/18/2011,Peter Ripka,Peter Ripka,Retail Leasing,02/01/2012,,,,,
100 Bayard Street,,Renzo Gracie Academy,,Brooklyn,14000,,,Greenpoint,12/18/2011,,"Josh Segal, Larry Smith",Retail Leasing,02/01/2012,,,,,
306 East Fordham Road,,Pretty Girl,East Fordham DE,Bronx,10000,,,Fordham,12/18/2011,Zach Mishaan,Zach Mishaan,Retail Leasing,02/01/2012,,,,,
691 Co-Op City Boulevard,,Fair Party Depot,Roshenshein Associates,Bronx,5000,,,Co-op City,12/18/2011,"Morris Sabbagh, Albert Manopla",,Retail Leasing,02/01/2012,,Represented in-house,,,
1054 Southern Boulevard,,Checkers,1058 Southern Blvd Realty Corp.,Bronx,3300,,,Longwood,12/18/2011,"John Rivera, Steve Lorenzo",Abraham Kassin,Retail Leasing,02/01/2012,,Kassin Sabbagh Realty,,,
555 Grand Concourse,,Planet Wings,AAC Management Corp.,Bronx,2943,,,Mott Haven,12/18/2011,,,Retail Leasing,02/01/2012,Sholom & Zuckerbrot Realty,Schuckman Realty,,,
1384 Coney Island Avenue,,1384 J Coney Island Avenue Corp.,Grabino Family LLC,Brooklyn,2000,,,Midwood,12/18/2011,,,Retail Leasing,02/01/2012,,M.C. O'Brien,,,
1058 Southern Boulevard,,Little Caesars Pizza,1058 Southern Blvd Realty Corp.,Bronx,1700,,,Longwood,12/18/2011,"John Rivera, Steve Lorenzo",Abraham Kassin,Retail Leasing,02/01/2012,,Kassin Sabbagh Realty,,,
961 East 174th Street,,Little Caesar Pizza,AAC Management Corp.,Bronx,1470,,,East Morrisania,12/18/2011,,,Retail Leasing,02/01/2012,NAI Friedland Realty,,,,
57 Front Street,,Gem Spa,Two Trees Management,Brooklyn,1253,,,DUMBO,12/18/2011,Lucille Ferrari,Caroline Pardo,Retail Leasing,02/01/2012,,,,,
1360 Loring Avenue,,J & L Tax Inc.,Spring Creek LLC,Brooklyn,1200,,,East New York,12/18/2011,,,Retail Leasing,02/01/2012,,M.C. O'Brien,,,
810 Rogers Avenue,,Loring Medical PC,Rogers and Church LLC,Brooklyn,1100,,,Flatbush,12/18/2011,,,Retail Leasing,02/01/2012,M.C. O'Brien,M.C. O'Brien,,,
2366 Flatbush Avenue,,Faros Tax Service,TGTM Realty LLC,Brooklyn,1000,,,Marine Park,12/18/2011,,,Retail Leasing,02/01/2012,,M.C. O'Brien,,,
1172 Flatbush Avenue,,United States Air Force,1172 Flatbush Ave LLC,Brooklyn,800,,,Flatbush,12/18/2011,,,Retail Leasing,02/01/2012,M.C. O'Brien,M.C. O'Brien,,,
856 Nostrand Avenue,,Mamoudou Sow,New-Hab Housing Development Fund Corporation,Brooklyn,619,,,Crown Heights,12/18/2011,,,Retail Leasing,02/01/2012,M.C. O'Brien,M.C. O'Brien,,,
29 East 22nd Street,,Pen and Brush,,Manhattan,3450,,,Flatiron,12/08/2011,,"Joseph Aquino, Faith Hope Consolo",Retail Leasing,01/17/2012,,Douglas Elliman,,,
2002 Fifth Avenue,,Pono Learning,,Manhattan,2500,,,Central Harlem,11/30/2011,"Joseph Aquino, Faith Hope Consolo, Arthur Maglio",,Retail Leasing,01/09/2012,Douglas Elliman,,,,
1223 Madison Avenue,,Pink Chicken,,Manhattan,1750,,,Carnegie Hill,11/30/2011,,"Joseph Aquino, Faith Hope Consolo",Retail Leasing,01/09/2012,,Douglas Elliman,,,
100 Broadway,,Duane Reade,MM 100 Broadway,Manhattan,22605,,,Financial District,11/22/2011,Ann La Centra,Jill Grabel,Retail Leasing,01/01/2012,Winick Realty Group,Madison,,,
55 West 25th Street,,American Apparel,Rose Associates,Manhattan,17000,,,Flatiron,11/22/2011,Chris DeCrostas,"Bruce Spiegel, William Bergman",Retail Leasing,01/01/2012,Thor Equities,Rose Associates,,,
595 Fifth Avenue,,Ted Baker,595 Fifth Avenue,Manhattan,12000,,,Plaza District,11/22/2011,"Laura Pomerantz, Betty Ende","Jonathan Scibilia, Andrew Kahn",Retail Leasing,01/01/2012,PBS Realty Advisors,Cushman & Wakefield,,,
