,Address,deals2,Tenant,Landlord,Borough,Size,deals7,deals8,Neighborhood,Event Date,Tenant Rep. Agent,Landlord Rep. Agent,Event,Publication Date,Tenant Rep. Firm,Landlord Rep. Firm
64,1501 First Avenue,,Eastside Cutz Salon,1501 First Equities,Manhattan,900,,,Upper East Side,11/01/2019,"Louis Franco, Jack Hurley","Louis Franco, Jack Hurley",Retail Leasing,11/08/2019,Isa Realty Group,Isa Realty Group
65,384 Fifth Avenue,,5th Ave Gifts & Luggage,JD 384,Manhattan,"3,500",,,Garment District,10/30/2019,Ryan Magner,Tony Park,Retail Leasing,11/08/2019,Magner Real Estate,PD Properties
66,22-18 Jackson Avenue,,F45 Training,22-12 Jackson Owner,Queens,"2,300",,,Long Island City,10/30/2019,Michael Azarian,"Steven Baker, Thomas Galo",Retail Leasing,11/15/2019,Cushman & Wakefield,Winick Realty Group
67,10 West 33rd Street,,Genesis International,Ten West Thirty Third Associates,Manhattan,507,,,Garment District,10/29/2019,David Levy,David Levy,Retail Leasing,11/01/2019,Adams & Company,Adams & Company
68,1277 Bay Ridge Avenue,,RISOL,Ramo,Brooklyn,420,,,Dyker Heights,10/25/2019,Zjama Rogatsky,Zjama Rogatsky,Retail Leasing,11/08/2019,Zjama Realty,Zjama Realty
69,428 Utica Avenue,,99 Cent Store,Urban Scape,Brooklyn,"4,500",,,Crown Heights,10/24/2019,Josh Augenbaum,Josh Augenbaum,Retail Leasing,10/25/2019,Augenbaum Realty,Augenbaum Realty
70,207 West 79th Street,,My Gym,Anbau Enterprises,Manhattan,"3,262",,,Upper West Side,10/24/2019,Michael Watson,"Barry Fishbach, David Abrams, Brandon Miller",Retail Leasing,11/01/2019,Lee & Associates,Newmark Knight Frank
71,40 East 58th Street,,The Lash Loft,Zurich Holdings,Manhattan,"1,450",,,Plaza District,10/24/2019,"Dorel Melloul, Marc Sitt","William Abramson, Matthew Olden",Retail Leasing,11/01/2019,Kassin Sabbagh Realty,Buchbinder & Warren Realty Group
72,1143 Second Avenue,,Festival,Stonehenge Partners,Manhattan,"1,300",,,Upper East Side,10/24/2019,Tom Brady,Andrew Taub,Retail Leasing,10/25/2019,Douglas Elliman,Newmark Knight Frank
73,2181 Nostrand Avenue,,Mister Pizza,1584 Flatbush Ave Partners,Brooklyn,"1,144",,,East Flatbush,10/24/2019,"Jack Khaski, Albert Manopla",Josh Augenbaum,Retail Leasing,10/25/2019,Kassin Sabbagh Realty,Augenbaum Realty
